	cd1	cd2	cd3	gat1	gat2	gat3	logFC	student's t-test	p-value
ACE	5.6	4.1	0.8	6.8	0	9.4	0.508146904	0.604981014	0.577834617
ACE2	0	0	0	2.7	0	4.9	1.821029859	1.78786415	0.148319104
CD52	2978.9	2257.3	2068	4847.3	4560.7	5672.1	1.045542373	5.977992109	0.003935167
ACIN1	24	31	28.3	22	30.9	20.2	-0.181464106	0.875093316	0.430923502
ACLP7	12.4	9.7	13.5	14.5	15.6	20.2	0.465534685	2.356907477	0.077925411
MTDNA_ND6	12	16.8	23.5	38.5	39.1	33.5	1.044947406	5.188123095	0.006569513
ACMSD	0.3	4	0	0	0.6	2	-0.382469637	0.40013848	0.709503105
9830002I17RIK	56.8	54.5	53.8	131.2	96.3	115.9	1.043119205	5.860820753	0.00423059
ACNAT2	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
ACO1	16.5	21.1	30.9	10.9	11.9	17.3	-0.730255373	2.019116084	0.113612105
ACO2	257.9	333.3	363.2	260.4	288.5	270.2	-0.219807912	1.392265645	0.236250895
ACOT1	68.1	29.4	81.5	67.1	28.4	71.9	-0.095013115	0.185693435	0.861721434
ACOT10	80.8	124.5	105.6	116.3	139.5	118.4	0.265024647	1.439045241	0.223539432
ACOT11	8	2.9	2.1	9.5	7.4	20.6	1.339850003	1.817759527	0.143249494
ACOT12	0	0	0	0	0	2.5	0.874469118	1	0.373900966
ACOT2	3.9	6.8	6.6	4	4.1	4.6	-0.370715168	1.608352283	0.183039697
ACOT3	0	0	1.2	0	0	0	-0.485426827	1	0.373900966
ACOT4	0	0	1.4	0	0.3	0	-0.415037499	0.768273325	0.485170293
ACOT5	0.3	0	0	1.6	0	0	0.479167837	0.798583652	0.469260553
ACOT6	0	4.5	1.4	0	0	0.3	-1.431339312	1.4	0.234100627
PIGS	9.3	7.6	8.3	16.8	22.5	15.8	1.042843001	4.648105161	0.009675152
ACOT8	138.5	134.2	149.4	128.8	123.4	134.2	-0.126549375	2.166024484	0.09623746
ACOT9	13.2	14.8	13.1	12.2	19.5	17.6	0.246032291	1.212190412	0.292141109
ACOX1	0	0	0.2	3.4	1.1	0	1.22881869	1.427791565	0.226533618
ACOX2	0	5	3.9	1.6	6.5	5.5	0.480221668	0.735633262	0.502759826
ACOX3	52.8	31.6	27.1	44	45.3	72.8	0.527992522	1.372700981	0.241777913
ACOXL	0	0.1	0	2.8	0	0	0.903784685	0.963671324	0.389782402
PIRA4	455.5	332	251.2	666.1	869.3	605	1.040961255	3.688792144	0.021041001
ACP2	53	56.7	51.3	53.2	51.9	50.1	-0.051946215	1.056468055	0.350336849
ACP5	8.8	19.5	7.9	7.1	3.7	13	-0.548620654	0.896388145	0.420716764
D830035G05RIK	0.9	0	1.4	2	2.7	3.2	1.04026387	3.472972568	0.025514502
ACPL2	296.6	225.6	181.1	198.1	343.9	321.1	0.294252512	0.94435621	0.398459517
ACPP	20.9	42.9	39	23.3	71.7	42.6	0.410256967	0.742894741	0.498805791
ACPT	0	0	2.1	0	0	0.8	-0.424497829	0.578492407	0.593941178
ACR	0.7	0.5	0	0	0	0	-0.485426827	1.921537846	0.127046393
ACRBP	14	2.6	1.4	5.3	4.9	5.5	-0.167351058	0.190767935	0.857998552
ACRV1	4.2	3.3	0	0	5	1.8	-0.099535674	0.120208214	0.910114222
ACSBG1	2.5	0.1	0.7	0	0.1	0	-1.023083613	1.477622709	0.21357384
ACSBG2	3.2	6.2	1.4	0.8	2	0	-1.250543462	1.759197989	0.153360307
ACSF3	21.2	16.6	22.9	19.4	21	21.9	0.035789619	0.264183275	0.804691684
AV249152	0.3	2.9	0.9	3.6	3.9	4.1	1.040077439	3.127716211	0.035262876
ACSL3	9.8	16.3	10.2	17	15.3	12.8	0.291507582	1.206498694	0.294099835
ACSL4	11.2	19.3	16.1	10.9	13	11.1	-0.384340702	1.579145033	0.189448428
ACSL5	480.5	529.6	603	565.5	470.7	435.8	-0.131801517	0.89389992	0.42189901
CEBPE	342.7	174.1	203.6	590.2	440	454.2	1.039927174	3.603478946	0.022687785
ACSM1	0	1.9	0	0	2.7	0	0.21818017	0.242313013	0.820454562
ACSM2	0	0	0	0.8	0	0	0.341036918	1	0.373900966
ACSM3	1.8	0	0.8	1.8	0	0.6	-0.05246742	0.089802651	0.932760931
ACSM4	2.8	6.5	2.5	5	10.6	0.8	0.390459477	0.492013786	0.64848932
ACSM5	0	2.9	0	0	1.4	2.1	0.139724764	0.174371458	0.87004326
ACSS1	782.9	1017.9	1180.2	709.7	790.4	776.1	-0.388720009	1.991327873	0.11727255
ACSS2	63.6	53.2	90.6	71.6	75.8	82.3	0.145336506	0.64236861	0.555600431
ACSS3	0	0	6.2	0	3.8	1.1	-0.219781208	0.18401345	0.86295491
ACTA1	5.7	12.8	2.1	7.6	33	2.7	0.972225334	0.764106224	0.487389574
ACTA2	62.3	27	27.6	70.6	78.9	43	0.705336949	1.581534584	0.188915503
ACTB	4301.8	4197.7	3964.8	4115.8	4113.7	4665.9	0.049043056	0.687590645	0.529505632
ACTBL2	0	1.2	0	1.8	0	1.9	0.673771768	1.132858136	0.320575008
ACTC1	0	0	0	0	0.8	0	0.341036918	1	0.373900966
ACTG2	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
ACTL6A	261.7	378.2	436.6	210.9	256	222.5	-0.640685614	2.427361452	0.072186394
ACTL6B	3.8	2.5	4.8	2.5	1.7	1.6	-0.680119734	2.439522737	0.071245076
ACTL7A	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
ACTL7B	0	0	0	0.8	0	0	0.341036918	1	0.373900966
ACTN1	1838	1397.1	992.7	2066.2	1649.2	1570.7	0.322091765	1.22282048	0.288515858
ACTN2	2.5	6.3	0	0.4	5.6	5.6	0.30718151	0.370123072	0.73005532
ACTN3	1.6	0.2	1.4	1.5	0.2	0	-0.399607459	0.778761197	0.479618946
ACTN4	145.1	161.1	174.5	146.5	161.2	120.1	-0.167094288	1.197614431	0.297181965
ZFP67	6.7	7.4	4.3	14.1	17.4	9.5	1.039892727	3.042960468	0.038291064
ACTR1A	371.9	325	359.4	387.2	429.8	388.6	0.19022562	2.514063047	0.065771681
ACTR1B	51.1	65.7	61.5	57.1	57.2	62.3	-0.013591575	0.121425474	0.909209553
ACTR2	1.3	2.5	0	3.9	6.7	0	1	1.09364907	0.335552015
ACTR3	1374.2	1273.6	1038.3	1382.3	1193	1337.5	0.086038184	0.658503989	0.546188477
ACTR3B	5.1	2	7.8	5.1	5.9	3.6	-0.024384159	0.05536601	0.95850199
ACTR5	28.4	24.7	24.4	24.5	20.7	29.3	-0.054792473	0.357016386	0.739117911
ACTR6	10.9	3.2	3.2	10.6	9.3	9	0.652076697	1.479659243	0.213060374
ACTR8	8.3	0.1	4	8.2	5	5.4	0.488100961	0.803165411	0.466891248
ZBTB34	2.4	2.5	1.7	4.6	6.7	5.4	1.037089319	5.088306491	0.007039771
ACTRT2	3.6	0	4.2	0.2	0	2	-1.054447784	1.28069019	0.269518926
ACVR1	28.8	25	30.1	27.2	21.1	36.2	0.00992684	0.043057519	0.967719328
A830073O21RIK	0	0	1.1	1.4	2.1	1.9	1.034765418	3.399448485	0.027291189
ACVR1C	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
ACVR2A	4.6	0	3.5	0	0	3.4	-0.794415866	0.874730895	0.431098954
CCL6	190	171.3	164.5	349.1	452.8	277.8	1.033839467	3.593853996	0.022883067
ACVRINP1	5	1.5	0	0	0.6	2.2	-0.711874613	0.761149319	0.488969022
LY6C1	2421.3	3297	1731	6363.8	4548	4324.2	1.032010577	3.290054693	0.030213956
ACVRL1	13.8	17.1	13.1	17.3	18	14.2	0.159656666	1.079469424	0.341122926
ACY1	24.6	30	33.6	26.6	29.4	24.7	-0.123806202	0.847417055	0.444490102
ACY1L2	0.8	3.6	0.7	0	1.7	0	-0.785261151	1.024207896	0.363633291
ACY3	5.8	1.2	0	3.3	3.2	3.2	0.344828497	0.509071634	0.637498735
ACYP1	3.2	0	3.3	1.3	7.9	4.5	0.813848684	1.094811727	0.335098898
ACYP2	4.8	5.7	4.4	7.5	3.8	6.4	0.20967118	0.802955069	0.466999815
2610103J23RIK	49.3	61.8	76.1	136.7	126.2	122.4	1.029654461	7.465750492	0.001720358
ADAD1	0.6	0.1	0.2	2.9	0.7	0.7	0.90442234	1.512980142	0.204834735
ADAL	18.6	15.7	22	14	8.4	15.9	-0.521890323	2.072390846	0.106940156
ADAM10	15.1	18.9	16.6	8.4	10	16.8	-0.488660362	1.831905958	0.140915491
ADAM11	1.6	1.9	3.5	1.2	0.3	1	-0.862496476	2.308451292	0.082171984
ADAM12	0	0.5	2.7	0.9	2.9	2.4	0.569365646	0.976416832	0.384145565
ADAM15	32	41.3	40.3	30.6	35	39.4	-0.110536476	0.736712983	0.502170417
ADAM17	122.5	142	104	120.7	119.9	171.9	0.161486266	0.718872682	0.511975311
ADAM18	0	0	0.6	0.8	0	0.5	0.256339753	0.759256602	0.489982068
ADAM1B	0	0.1	1.2	0	1.8	0	0.158697746	0.233890135	0.826553303
ADAM2	0.6	2.9	0	1.3	0	0	-0.596103058	0.745014008	0.497656206
ADAM21	1	0	5.9	5	0	0	-0.307428525	0.25640582	0.810284892
ADAM22	0.5	1.5	1.2	0	1.3	0.6	-0.339486466	0.905752919	0.416291787
ADAM23	1.1	0.8	0	0	0	3.9	0.493814613	0.49721101	0.645129006
ADAM24	0	5	2.7	1.6	0	3.5	-0.401616984	0.491353815	0.648916758
ADAM25	0	5.6	0	1	0	0	-1.10433666	0.808636937	0.464074101
ADAM26A	0.4	0	1.3	0.8	0.7	0	-0.062735755	0.14509525	0.891653227
ADAM26B	0	0	0	2	0	0	0.736965594	1	0.373900966
ADAM28	1.8	0.2	0	0.2	0	0	-0.64385619	1.046228749	0.3545096
ADAM29	0	0.4	0	1.6	0.5	0	0.584962501	1.154035197	0.312743173
ADAM3	0	5	0	0	1.6	0.7	-0.59400764	0.52029013	0.630331145
ADAM30	0	0.1	0	1.3	3	0	1.235628248	1.610626477	0.1825502
ADAM32	0	6.1	0	1.8	7.1	0	0.387023123	0.316875111	0.767187528
C130007P11RIK	4.5	4.9	3	7.8	11.4	9.2	1.027834208	4.45649603	0.011190488
ADAM34	0	0	0	0	0	1.8	0.678071905	1	0.373900966
ADAM39	1.9	0	0	0	0	0	-0.707819249	1	0.373900966
ADAM4	1.3	3	0.1	2.3	0	3.3	0.216811389	0.310252614	0.771861832
ADAM5	1.6	0	0	0	0.3	0.2	-0.394278939	0.678289058	0.534800707
ADAM6	0	0	0	0	3.1	0	1.023846742	1	0.373900966
ADAM7	0	0	1.5	1.2	0.5	3.1	0.793549123	1.19078493	0.29957186
ADAM8	45.7	70.3	93.6	97.8	171.3	41.1	0.558942616	0.835269914	0.450552254
ADAM9	68.1	53.5	47.8	58.5	58.8	77.2	0.196092879	0.967505146	0.388079435
ADAMDEC1	0	3.5	0	1.3	0	0.7	-0.378511623	0.40794622	0.704204588
ADAMTS1	0	1.3	3	1	0.7	0	-0.635235707	0.944362526	0.398456653
ADAMTS10	6.3	4.3	6.1	3.5	10.4	4.2	0.099047369	0.204406791	0.848014894
ADAMTS12	2.1	1	1.6	0	1.6	3.2	0.018615678	0.03411956	0.974416535
SNAP91	0	0	0	1.4	0.9	0.8	1.023846742	5.567764363	0.005097541
ADAMTS14	0	0	2.5	0	0	0	-0.874469118	1	0.373900966
ADAMTS15	0	0.9	0.7	0	0	2.3	0.204358499	0.286731172	0.788557207
ADAMTS16	0	1	0	0	0	2.3	0.40599236	0.518343945	0.631571096
ADAMTS17	0.6	0	0.6	1.3	1.1	4.4	1.222392421	1.717597482	0.161002158
ADAMTS18	0	0	1	0	0.2	0	-0.321928095	0.784464541	0.476620667
ADAMTS19	0	0	0.6	0	0	1.6	0.353636955	0.585205736	0.589831691
ADAMTS2	6.8	7.2	9.4	24.2	0	20.6	0.856472689	0.940843414	0.400055125
ADAMTS20	1	2.2	0	0.5	1.7	0	-0.253756592	0.410650781	0.702373908
ADAMTS3	0.1	0	0	0	0	0	-0.047305715	1	0.373900966
ADAMTS4	0	0.6	9.7	0	2.9	0.6	-1.032914622	0.695254365	0.525171276
ADAMTS6	3.2	3	0.4	3.1	2.3	0.9	-0.04580369	0.09028939	0.932397721
ADAMTS7	5.4	5.6	17.6	3.7	1.5	4.2	-1.349584438	1.554108288	0.195126196
ADAMTS8	3.3	1.7	0	0	3.2	3.6	0.292781749	0.404010125	0.706873206
ADAMTS9	1.1	3.6	2.8	2.1	0.5	5.1	0.027221469	0.043386092	0.967473186
ADAMTSL1	3.7	0	0	0	0	1.8	-0.48112669	0.46176937	0.668243287
ADAMTSL2	0	0	0.4	0	0	0	-0.180572246	1	0.373900966
ADAMTSL3	2.2	0.5	1.2	2.4	0.7	2.6	0.334419039	0.770328887	0.484078404
ADAMTSL4	2.8	0.1	4.1	7.5	13.9	6.6	1.632268215	2.710636607	0.05350205
ADAMTSL5	5.9	0	1.4	0	2	1.4	-0.686500527	0.693011714	0.526436993
ADAP1	27.4	46	49.1	46.7	35.7	58.7	0.199382971	0.653444617	0.549127645
ADAP2	9.6	4.2	5.1	5.8	0	4.7	-0.697971463	1.147566684	0.315116465
ADAR	41.9	16.7	20.1	42.7	29.7	34.7	0.430406485	1.081232204	0.34042585
ADARB1	3.2	4.7	2.9	0	4.5	3.4	-0.340340132	0.660114608	0.545255124
ADARB2	0	0	0	0.1	0	0.9	0.415037499	1.170411472	0.306808585
ADAT1	3.4	0.5	3.7	2.6	0.6	4.1	-0.041419927	0.069523466	0.94790984
ADC	1.1	0	0	2.1	0.3	0	0.397335498	0.576781731	0.594991303
ADCK1	24.1	18.6	26	18.3	20.3	20.5	-0.20737985	1.374940558	0.241138809
ADCK2	3.1	1.3	4.6	0	3.6	0.8	-0.69743723	1.057820715	0.349788896
9430088P09RIK	7.7	6.5	4.3	16.8	12.3	11.5	1.019991475	3.823437857	0.018723036
ADCK5	30.7	42.1	64.7	24	26	20.4	-0.936718162	2.209197917	0.091707984
ADCY1	1.8	1.1	0	1.2	0	1	-0.182203331	0.363421892	0.734682309
ADCY10	3.5	0	0.4	0	0	0	-1.201633861	1.175360111	0.305035957
ADCY2	4.3	0	2.1	0	0	5.7	-0.111645356	0.102807862	0.923063419
ADCY3	1.4	3	2.4	3.9	0	1.7	-0.188445089	0.327448677	0.75974932
PRSS34	714.4	839.7	1602.6	2062.8	1972.8	2364.9	1.019073076	3.582480881	0.023116406
ADCY5	4	0	2.5	0	0	3.3	-0.592575685	0.6652246	0.542301288
TTC17	33	15	14.9	44.2	37.7	48.6	1.018489372	3.314283015	0.029535895
ADCY7	42.4	50.3	37.6	52.3	47.4	48.3	0.179871769	1.476128029	0.213951485
ADCY8	3.4	0	0	0.7	0	0.5	-0.607682577	0.63641254	0.559102823
ADCY9	18.4	8.4	4	6.2	9.6	21.3	0.24657899	0.335986859	0.75376574
ADCYAP1	2.8	0	0.3	0	0	0	-1.023846742	1.164229438	0.309036493
ADCYAP1R1	3.2	1.1	4.4	1.1	0	0	-1.512812715	2.455448545	0.070033402
LOC100038908	64.3	38.4	32.6	95.3	112.1	68.8	1.013497785	2.94800842	0.042052573
LOC381200	5.7	7.5	6.8	17.1	13.7	12.6	1.012490944	5.371155841	0.005802831
ADD3	469	316.3	279.9	572	409.3	631.3	0.596888262	2.071399223	0.107060331
ADFP	90.3	62.4	125	108.8	270.1	88.8	0.745778789	1.05240436	0.351987634
ADH1	3.6	0.6	3.3	0.2	1.5	1.6	-0.736965594	1.32683045	0.255240488
ADH4	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1500031L02RIK	435.7	351.9	152.5	705.1	604.6	588.2	1.011199981	3.485561893	0.025224237
ADH6A	0	0	0	0	0	0.1	0.047305715	1	0.373900966
ADH6B	3.6	6.7	0	1.2	1.5	0	-1.222392421	1.273405246	0.27184275
ADH6-PS1	0.8	1.8	0	1.8	0.2	0	-0.163498732	0.259160528	0.808302236
ADH7	1.5	1.3	1.2	1.9	0	1.2	-0.198545679	0.534051746	0.621605459
ADHFE1	1.2	0	1.8	0	0	0	-1	1.889822365	0.131777567
ADI1	68.8	88.4	73	109.6	98.4	61	0.222038863	0.815702274	0.460456106
ADIPOQ	129.7	67.6	77	63	0	62.7	-1.107435563	1.737896399	0.15722416
ADIPOR1	2598	2032.5	1926.9	1850.4	2071	1902.5	-0.17105523	1.117870223	0.326226476
ADIPOR2	990.9	874	788	885.7	882.3	921.4	0.019691934	0.20239571	0.849484898
A930026L03RIK	9.5	10.9	3.3	14.3	17	19.5	1.010766431	3.253744475	0.031264917
ADM	3.2	0.6	2.4	0	12.5	1.2	0.860142336	0.616475376	0.570936206
ADM2	0	4.6	3.7	0	0	5.4	-0.42786154	0.423053483	0.694010081
ADNP	508.6	389.6	312.4	480.2	313.2	504.9	0.100660607	0.352406036	0.742318052
ADO	11.2	10.7	11.8	7.8	15.1	14.6	0.142141845	0.533152857	0.622173145
ADORA1	1.4	1.5	0.9	0.3	0.9	2.6	0	0	1
ADORA2A	0	0	5.1	0	4	0	-0.210566986	0.169713482	0.873472939
ADORA2B	42.2	145.7	81.5	55.3	22.8	76.8	-0.786715532	1.12241741	0.324502307
ADORA3	3	0.5	2.5	4.6	3.3	2.6	0.584962501	1.558222562	0.194181291
MYO1F	403.2	874.5	574.7	1337.1	1260.7	1118.4	1.003262084	4.089937302	0.014975897
RASSF2	75.4	35.4	24.9	91	81.7	102.3	1.003117095	2.814560715	0.048093288
ADPRHL1	2.2	3.5	1.4	2.3	2.3	2.3	-0.028854863	0.108946942	0.918491219
TXNDC10	7.8	7.1	2.2	12.7	11.5	13	1	3.680800149	0.021189069
ADPRT2	5.9	13.5	18.5	11.2	15.3	5.6	-0.220629813	0.418698902	0.696940709
ADRA1A	1.5	0	0	1.4	0	0	-0.032421478	0.048737018	0.963465314
"ADRA1A, GPCR"	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
ADRA1B	1.9	0	3.1	0	0	0	-1.415037499	1.846792138	0.13850343
ADRA1D	0	0	0.4	0	0	0	-0.180572246	1	0.373900966
ADRA2A	15.3	5	7.2	13.8	12.1	9.5	0.332297068	0.780916115	0.478484391
ADRA2B	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
ADRA2C	0	0.8	0	0	0	0.7	-0.038474148	0.094072087	0.929575711
ADRB1	4.7	1.4	0	3.1	3.3	1.6	0.273565073	0.424217067	0.693228082
ADRB2	374.2	778	742.2	691	739.8	435.3	-0.021680095	0.058993918	0.955786612
ADRB3	1.9	0.3	3	4.6	3.4	3.3	0.802319332	2.289289206	0.083922768
DEFA1	0.4	0	0	0.8	1.4	1.6	1	4.123105626	0.014575502
ADRBK2	10.4	9.1	6.1	5.2	7.3	4.5	-0.516015147	1.878463722	0.13351807
ADRM1	163.5	174.3	208.8	144.4	158.5	136.3	-0.313682979	2.367385236	0.077040094
ADSL	12.6	21.6	16.1	22.3	26.3	13.8	0.295155103	0.892023835	0.422792219
ADSS	116.3	114.8	119	173.6	170.3	109.2	0.369273349	1.636917994	0.176988935
ADSS2	4.8	14.7	22.9	6	4	0.6	-1.739085646	1.939637475	0.12442918
ADSSL1	496.4	758.2	551.6	576.3	751.9	994.3	0.362189039	1.186681843	0.301016334
AEBP1	0	0.4	3.2	1.2	3.2	0	0.165059246	0.194257172	0.855441273
AEBP2	34.4	54.2	38.2	49.4	36.1	58.1	0.17559472	0.635193594	0.559821472
AEN	0.6	4.4	7.4	0	0	3.8	-1.179323699	1.225076197	0.287752067
AES	276.6	238.7	236.4	231.5	215.6	246.7	-0.11515865	1.219447411	0.289661568
AF067061	0	0	0	0	1.6	0	0.61667136	1	0.373900966
AF067063	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
4930486I03RIK	0.7	1.1	0	2.4	2.1	2.1	1	4.752708206	0.00895305
AF366264	0	2.1	0	1.3	0	1.3	0.13492958	0.202444083	0.849449532
AF529169	0	0	1.2	0	0.6	3.3	0.716207034	0.825028647	0.455714399
AFAP1	2.5	7.4	4.3	0.2	4.2	3.5	-0.65808043	1.11161086	0.328613547
AFAP1L1	0	0	0	0	1.3	4	1.468148836	1.499666363	0.208082011
AFAP1L2	0	0	4.6	2.2	0	0	-0.547487795	0.470678724	0.662389277
AFF1	335	291.4	288.3	247.5	200.4	304.5	-0.280781824	1.607179643	0.183292628
AFF2	0	0	0	0	0	7	1.736965594	1	0.373900966
AFF4	15.8	27.4	29.9	17.3	26.3	21.1	-0.16874062	0.55261962	0.609950581
AFG3L1	75	108.4	117.2	74.9	81.5	64.7	-0.438029142	1.927115591	0.126233532
PKN3	10.3	6.4	5.3	16.4	11.4	19.2	1	3.041776722	0.038335469
AFM	0	0	0	0	0	0.1	0.047305715	1	0.373900966
GCAT	13.7	10.6	9	15.9	25.8	27.7	0.996020149	3.077946865	0.037005455
AFP	0	4.1	0	0.7	0	0.7	-0.690315501	0.6491435	0.551634963
AFTPH	454	390.3	440.5	580.3	369.8	532.5	0.206137165	0.990075063	0.378183163
AGA	0	1.7	0	0.3	0	0	-0.510194732	0.810998225	0.462862462
AGAP1	196	134.9	125.7	227	131.7	170.4	0.211318606	0.682880092	0.532182483
AGBL1	4.5	0.7	3.4	4.7	0	7.3	0.370837695	0.469065923	0.66344685
AGBL2	0	0	0	0	1.4	0	0.552541023	1	0.373900966
AGBL4	0.6	0	0	0	0	0	-0.263034406	1	0.373900966
AGER	13.7	14.1	12.9	13.9	16.5	17.8	0.22851053	2.084137554	0.105527847
AGFG1	121.7	113	122.1	156.9	184.3	99	0.300762695	1.098037789	0.333844523
AGFG2	188.6	104.5	130.2	120.1	76.2	100.4	-0.508349971	1.510744159	0.205376476
AGGF1	134.5	114	111.2	147	105.3	116.1	0.03419707	0.20008408	0.851175504
AGK	1.7	0	0	0	0	0	-0.647698256	1	0.373900966
AGL	53.7	40.9	34.3	54.1	36.4	64.8	0.263216691	0.875608646	0.430674124
AGMAT	1.9	10.8	10.8	0	0	3.5	-2.027480736	2.091290657	0.104677924
AGPAT1	31.7	45.1	32.7	19.4	38.1	29.1	-0.328354364	1.104914367	0.331184944
AGPAT2	186.3	138.6	153.3	293.3	219.2	170.4	0.511361613	1.776409171	0.150312076
KLRA17	472.9	182.3	203.9	572.9	597.8	544.1	0.994634945	3.010257712	0.039540328
GALK1	44.6	70.6	54.2	95.2	134.9	110.1	0.993289778	4.112225791	0.014705402
AGPAT5	0.5	0	4.5	0	1.2	1.6	-0.4639471	0.487926034	0.651139423
AGPAT6	185.9	173.3	185.1	177.2	211.3	182.6	0.068970199	0.787843514	0.47485116
AGPAT9	21.6	45.7	32.7	34.4	60.3	30.1	0.311243499	0.705074869	0.519654657
AGPS	269.4	242.5	218.3	402.2	332.8	281.5	0.475583084	2.514064843	0.065771555
AGPT	0.5	0	0	0	0.8	0	0.118644496	0.317999364	0.766395186
AGR2	0	0	0.8	5.8	0.3	0.3	1.306661338	1.00757892	0.370659464
AGR3	0	0	0	0	0	1.8	0.678071905	1	0.373900966
AGRN	519.6	256.1	450.7	190.3	197	241	-0.961556734	2.477077104	0.068425213
AGRP	0	5	0	0.3	4.7	0	0	0	1
AGT	3	1.3	0	5.6	0	0	0.236440196	0.21047285	0.843585449
AGTPBP1	2	2.8	2.9	1.5	2.6	2.2	-0.202308175	1.086610736	0.338306887
AGTR1A	181.2	153.3	252.6	144.3	148.5	77.2	-0.661783828	1.928707523	0.126002572
AGTR1B	0	0	0	2.9	2.7	0	1.519374159	1.996184416	0.116623612
AGTR2	2.8	4.1	0	6.6	6.3	1	0.771522816	1.068235533	0.345595513
AGTRAP	394.6	333	154.8	396.4	388.6	486.1	0.525077236	1.652419954	0.173792858
AGXT	0	5.2	0	0	0	0.8	-1.109624491	0.836314513	0.45002835
AGXT2	1.4	2.9	0	0	1.9	3	0.113956189	0.165019597	0.876932464
AGXT2L1	1.9	0.9	0	1.8	3.4	0.3	0.551409941	0.857250857	0.439630621
AGXT2L2	43.4	65.4	58.1	57.9	58	55.5	0.037714188	0.230029366	0.829353751
CLEC4B1	141.4	98.8	71	205.3	179.4	237.1	0.991711273	3.920183182	0.017245023
AHCY	35.5	22.1	62.2	60.7	93.2	19.4	0.521721914	0.731134984	0.505220939
AHCYL1	219.8	216	234.4	224.3	221.9	191.2	-0.072061869	0.907960434	0.415254356
AHDC1	32.4	28.7	26.2	12.6	7.1	25.3	-0.911691582	2.481461307	0.068104378
AHI1	56.7	87.7	70.5	39.9	46.1	65	-0.500735846	1.817226521	0.14333824
AHNAK	215	458.9	349.9	283.4	259.6	405.1	-0.11048626	0.301459914	0.778086015
AHNAK2	0.1	0	4.1	0.9	1	1.6	-0.147557188	0.170579563	0.872834985
AHR	0.6	0	2.7	0	0	0	-1.070389328	1.343863888	0.250157638
AHRR	4.2	7.2	4.2	8.2	2.8	13.1	0.54299023	0.902876919	0.417646607
AHSA1	257.7	206.5	242.1	260.7	312.4	241.5	0.204999249	1.386610996	0.237835358
AHSA2	20.2	23.4	29.5	24.6	25.8	25.6	0.0539562	0.351134881	0.743201499
AHSG	0	0.5	3.8	0	3.9	0	-0.081300102	0.075592895	0.943372722
FCGR2B	43.6	62.3	45.1	123.6	105.3	74	0.990129756	3.230262895	0.031967569
AI118078	2.1	0.6	0	0	0	0	-0.925999419	1.441153384	0.222982958
AI132487	8.6	13.5	2.4	5.7	8.5	11.4	0.056583528	0.101608228	0.923957296
AI182371	0	0	0	1.3	0	0	0.519374159	1	0.373900966
AI194318	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
AI255170	15.2	24.5	21.7	24.8	19.6	13	-0.092512139	0.303929958	0.776335457
SLFN5	2.3	0	1.6	3.3	3.4	4	0.989507626	3.170516348	0.033841055
AI314180	333.6	377.4	359.3	267.4	347	238	-0.32738227	2.078158995	0.106244061
AI314831	0	0	1.5	0	2.4	0	0.263034406	0.317999364	0.766395186
AI314976	26.3	28.9	35.3	28.8	25	36.1	-0.009287768	0.047459384	0.964422155
AI316807	110.7	133.4	111.3	126.6	135.8	144.7	0.194405106	1.890642552	0.131652841
AI317223	0.3	1.8	0.5	1.5	3	0	0.421463768	0.642684587	0.555415047
AI317395	9.6	5.7	9.3	4.6	6.3	10.4	-0.183711953	0.51663504	0.63266108
AI324046	1413	185	205.2	192.6	33	968.4	-0.593534499	0.407517447	0.704495041
AI326477	0	2.4	0	2.3	0.5	0.2	0.152003093	0.193347298	0.856107919
AI413582	55.3	43.9	41.1	52.7	47.8	58.9	0.180513023	1.178765336	0.303821739
AI413782	12.5	19.6	4.8	21.3	15.2	16.1	0.478696137	1.118862696	0.325849444
AI427122	9.7	8.9	9.1	1.6	3.4	18.2	-0.228671844	0.284924284	0.789845576
AI427809	5.9	1.1	0	0	0.2	3.7	-0.535331733	0.475406446	0.659294621
AI428936	0	0	5.7	0	0	0	-1.5360529	1	0.373900966
AI447711	7.8	9.8	7.8	6.9	13.1	3.6	-0.094464684	0.209543286	0.844263769
AI447904	0.6	0	0	0	0	0.1	-0.215728691	0.821994937	0.457252536
AI448196	10	15	7.9	10.8	5.6	11.7	-0.207069264	0.563964824	0.602897103
AI449175	44	75.8	56.3	53.3	55	49.5	-0.155497931	0.648960652	0.551741729
AI450540	348	214.7	164.7	309.4	185	369.8	0.247677991	0.591044978	0.586272345
AI451557	27.7	16.3	22.7	35.4	25.9	36.4	0.530833122	2.199134704	0.092742099
AI451617	0.9	7	5.7	0.2	10.7	4.3	0.132755209	0.149213745	0.88860577
AI464131	0	0	0.1	0.5	1.2	0	0.600392541	1.525540143	0.201818612
AI467606	927.8	935.2	406.6	982.2	791.1	1156	0.367688933	1.076568245	0.342272971
